layer,head,entropy,sparsity,distance
9,0,0.26435937145876065,0.9863739013671875,0.7731167674064636
9,1,0.6768458110296318,0.916656494140625,167.993408203125
9,2,0.4202096294972034,0.9786453247070312,116.36851501464844
9,3,0.6784135897592345,0.9140396118164062,9.952000617980957
9,4,0.26440279676319384,0.9863739013671875,0.7733434438705444
9,5,0.6249750622176002,0.9375,168.53688049316406
9,6,0.421158265477194,0.9786453247070312,118.19560241699219
9,7,0.6863285747294113,0.910308837890625,10.446296691894531
10,0,0.2620855849058299,0.9863739013671875,0.7613276243209839
10,1,0.6490660773767272,0.928558349609375,168.39288330078125
10,2,0.41844542214332736,0.9786453247070312,123.724365234375
10,3,0.6779213190646336,0.9140396118164062,9.865264892578125
10,4,0.3186080724031878,0.9824981689453125,1.0896334648132324
10,5,0.6249795848238722,0.9375,168.712158203125
10,6,0.41684363124126356,0.9786453247070312,120.65003967285156
10,7,0.6518866468473833,0.9252777099609375,8.438441276550293
11,0,0.15811554106539674,0.9902572631835938,0.3284941017627716
11,1,0.6624220616847807,0.923065185546875,168.22573852539062
11,2,0.396539294399075,0.9805793762207031,113.89058685302734
11,3,0.6778070032547014,0.9140396118164062,9.845976829528809
11,4,0.16237694410962006,0.9902572631835938,0.343207448720932
11,5,0.6249783943814607,0.9375,168.6645965576172
11,6,0.42387398876467935,0.9767112731933594,131.39166259765625
11,7,0.7141312904877726,0.8954620361328125,12.279870986938477
